"dto_id","dto_name","dto_order"
"1","Governmental organisation/regulatory body","0"
"2","International organisation","0"
"3","National reference laboratory or equivalent","0"
"4","Non-governmental organisation (NGO)","0"
"5","Private consulting company","0"
"6","Private research institute","0"
"7","Public research institute","0"
"8","River water authority","0"
"9","University/other academic institution","0"
"10","Others (please specify):","1"
