"dst_id","dst_name"
"1","Spot grab sample"
"2","24-h composite sample"
"3","Large volume SPE"
"4","POCIS"
"5","SPMD"
"6","Empore Disk"
"7","Silicone rubber"
"8","NR"
"9","Other"
