"dsgr_id","dsgr_name"
"1","Macrophytes"
"2","Molluscs"
"3","Fish"
"4","Raptors"
"5","Otters"
"6","Marine mammals"
"7","Other"
"8","Seal"
"9","Penguin"
"10","Birds"
