"df_id","df_name"
"1","Dissolved fraction"
"2","Whole water with no separation of liquid and SPM phases"
"3","Whole water with determination on each separate phase (sum of all phases)"
"4","(Whole) Fraction < 2mm"
"5","Fraction < 63 µm"
"6","Fraction < 50 µm"
"7","Fraction < 20 µm"
"8","Other"
"9","SPM"
