"dss_id","dss_name"
"1","Bio sludge"
"2","Centrifugated sludge"
"3","Dehydrated incinerated sludge"
"4","Incinerated sludge"
"5","Presedimented sludge"
"6","Primary sludge"
"7","Sewage sludge"
"8","Stormwater sludge"
"9","Other"
