"de_id","de_name"
"1","Spot sampling"
"2","Depth integrated sampling"
"3","Spot sampling - territorial"
"4","Spot sampling - coastal"
"5","Spatial integrated sampling"
"6","Other"
"7","Surface sampling"
"8","NR"
