"dend_id","dend_name"
"1","EC0"
"2","EC01"
"3","EC10"
"4","EC20"
"5","EC50"
"6","EC90"
"7","EC100"
"8","LC50"
"9","LC100"
"10","LOEC"
"11","NOEC"
"12","NEL"
"13","TOXlim"
"14","Other"
