"sle","susdat_id"
"107","97041"
"107","5364"
"107","10445"
"107","10059"
"107","3871"
"107","14895"
"107","2166"
"107","10446"
"107","115021"
"107","80042"
"107","9098"
"107","10074"
"107","134360"
"107","48"
"107","117949"
"107","6794"
"107","134361"
"107","98749"
"107","63"
"107","134362"
"107","8448"
"107","516"
"107","1635"
"107","2848"
"107","10013"
"107","10424"
"107","10354"
"107","99441"
"107","9963"
"107","7287"
"107","5326"
"107","9421"
"107","528"
"107","523"
"107","529"
"107","9456"
"107","3740"
"107","6420"
"107","97232"
"107","317"
"107","98766"
"107","468"
"107","1690"
"107","8990"
"107","8779"
"107","1562"
"107","1149"
"107","30354"
"107","362"
"107","10883"
"107","7697"
"107","9915"
"107","10885"
"107","518"
"107","10899"
"107","3484"
"107","10289"
"107","10269"
"107","560"
"107","323"
"107","378"
"107","220"
"107","8432"
"107","10887"
"107","443"
"107","390"
"107","134363"
"107","4187"
"107","9603"
"107","8274"
"107","1824"
"107","363"
"107","9068"
"107","17900"
"107","9550"
"107","7188"
"107","244"
"107","115845"
"107","6766"
"107","4014"
"107","8224"
"107","9694"
"107","8736"
"107","9135"
"107","198"
"107","268"
"107","18309"
"107","2711"
"107","7887"
"107","5719"
"107","398"
"107","10416"
"107","293"
"107","258"
"107","294"
"107","7860"
"107","276"
"107","709"
"107","9946"
"107","10258"
"107","7958"
"107","448"
"107","10175"
"107","4130"
"107","7920"
"107","6935"
"107","4673"
"107","8758"
"107","6353"
"107","9050"
"107","338"
"107","6665"
"107","7956"
"107","10256"
"107","6659"
"107","4109"
"107","6523"
"107","211"
"107","10104"
"107","3394"
"107","6933"
"107","14703"
"107","202"
"107","4123"
"107","313"
"107","6858"
"107","531"
"107","4634"
"107","479"
"107","134364"
"107","4565"
"107","7053"
"108","10495"
"108","112892"
"108","82519"
"108","10820"
"108","13411"
"108","10722"
"108","134365"
"108","1148"
"108","0"
"108","9730"
"108","2359"
"108","82068"
"108","82554"
"108","76352"
"108","5883"
"108","93590"
"108","93586"
"108","134366"
"108","134367"
"108","134368"
"108","134369"
"108","113233"
"108","134370"
"108","134371"
"108","93505"
"108","7952"
"108","134372"
"108","3356"
"108","134373"
"108","2329"
"108","20363"
"108","134374"
"108","134375"
"108","134376"
"108","134377"
"108","8308"
"108","104240"
"108","86909"
"108","134378"
"108","10852"
"108","4911"
"108","134379"
"108","5486"
"108","10283"
"108","134380"
"108","73936"
"108","85738"
"108","10861"
"108","134381"
"108","112893"
"108","42731"
"108","2426"
"108","6316"
"108","2962"
"108","6463"
"108","7558"
"108","4126"
"108","9239"
"108","3922"
"108","1038"
"108","20923"
"108","134382"
"108","7013"
"108","10262"
"108","134383"
"108","8378"
"108","7433"
"108","2059"
"108","3550"
"108","8541"
"108","7272"
"108","80964"
"108","75776"
"108","134384"
"108","134385"
"108","11491"
"108","86787"
"108","4136"
"108","134386"
"108","80749"
"108","8650"
"108","2911"
"108","296"
"108","2915"
"108","10633"
"108","134387"
"108","79211"
"108","7305"
"108","10271"
"108","10387"
"108","1618"
"108","10909"
"108","15576"
"108","10312"
"108","134388"
"108","10702"
"108","4395"
"108","6098"
"108","10737"
"108","10632"
"108","104546"
"108","10895"
"108","15707"
"108","134389"
"108","134390"
"108","134391"
"108","86721"
"108","10699"
"108","134392"
"108","134393"
"108","134394"
"108","134395"
"108","134396"
"108","134397"
"108","85881"
"108","75780"
"108","134398"
"108","86010"
"108","134399"
"108","400907"
"108","74338"
"108","86333"
"108","11442"
"108","7130"
"108","1861"
"108","9261"
"108","11470"
"108","3717"
"108","134400"
"108","85970"
"108","134401"
"108","134402"
"108","112432"
"108","134403"
"108","74339"
"108","8760"
"108","76481"
"108","2258"
"108","23998"
"108","134404"
"108","6200"
"108","8341"
"108","2649"
"108","134405"
"108","74340"
"108","113221"
"108","134406"
"108","400908"
"108","134407"
"108","74399"
"108","134408"
"108","8234"
"108","112443"
"108","4674"
"108","6036"
"108","134409"
"108","10740"
"108","10701"
"108","81268"
"108","93567"
"108","113213"
"108","81308"
"108","112425"
"108","74457"
"108","1949"
"108","75786"
"108","134410"
"108","134411"
"108","134412"
"108","74477"
"108","85297"
"108","2972"
"108","1568"
"108","222"
"108","109885"
"108","93483"
"108","80992"
"108","24205"
"108","11372"
"108","74444"
"108","75652"
"108","5238"
"108","75380"
"108","5156"
"108","76980"
"108","77087"
"108","77006"
"108","86901"
"108","74381"
"108","87582"
"108","87583"
"108","75361"
"108","87051"
"108","1627"
"108","86783"
"108","134413"
"108","112698"
"108","4487"
"108","85547"
"108","93471"
"108","9572"
"108","10388"
"108","85975"
"108","3519"
"108","9398"
"108","134414"
"108","75582"
"108","79352"
"108","85768"
"108","85093"
"108","85095"
"108","86206"
"108","134415"
"108","85102"
"108","10896"
"108","8649"
"108","51952"
"108","134416"
"108","134417"
"108","134418"
"108","134419"
"108","134420"
"108","10103"
"108","86960"
"108","2377"
"108","5778"
"108","110266"
"108","86722"
"108","86780"
"108","86930"
"108","81186"
"108","24792"
"108","86546"
"108","134421"
"108","10316"
"108","134422"
"108","6322"
"108","86019"
"108","134423"
"108","112608"
"108","84705"
"108","3324"
"108","85025"
"108","134424"
"108","7110"
"108","113217"
"108","51487"
"108","134425"
"108","113212"
"108","134426"
"108","85336"
"108","134427"
"108","75794"
"108","134428"
"108","134429"
"108","2012"
"108","107924"
"108","20751"
"108","93479"
"108","8307"
"108","134430"
"108","134431"
"108","134432"
"108","51563"
"108","113211"
"108","10280"
"108","134433"
"108","75800"
"108","134434"
"108","134435"
"108","134436"
"108","41814"
"108","1774"
"108","2471"
"108","134437"
"108","20763"
"108","9296"
"108","15628"
"108","134438"
"108","77739"
"108","82243"
"108","26619"
"108","8410"
"108","41304"
"108","370"
"108","6596"
"108","2853"
"108","10700"
"108","3847"
"108","114757"
"108","84437"
"108","110811"
"108","19789"
"108","93467"
"108","134439"
"108","107932"
"108","84357"
"108","10720"
"108","111975"
"108","76478"
"108","83694"
"108","84053"
"108","134440"
"108","93466"
"108","104975"
"108","83869"
"108","10302"
"108","4478"
"108","1196"
"108","113216"
"108","20775"
"108","27780"
"108","77208"
"108","73846"
"108","2956"
"108","75817"
"108","75459"
"108","105041"
"108","9863"
"108","76122"
"108","18878"
"108","14225"
"108","8444"
"108","134441"
"108","93460"
"108","113694"
"108","10624"
"108","20776"
"108","5572"
"108","85077"
"108","102414"
"108","3410"
"108","134442"
"108","112438"
"108","134443"
"108","28389"
"108","82938"
"108","10511"
"108","1351"
"108","134444"
"108","4235"
"108","85446"
"108","78267"
"108","83080"
"108","83450"
"108","83793"
"108","2938"
"108","10958"
"108","14234"
"108","11524"
"108","77213"
"108","2998"
"108","18916"
"108","9617"
"108","134445"
"108","28965"
"108","134446"
"108","134447"
"108","81852"
"108","81436"
"108","8577"
"108","134448"
"108","81633"
"108","84863"
"108","2582"
"108","107935"
"108","7621"
"108","134449"
"108","60392"
"108","83712"
"108","29498"
"108","83196"
"108","9389"
"108","369"
"108","11418"
"108","10282"
"108","1647"
"108","76701"
"108","10279"
"108","89389"
"108","7746"
"108","93472"
"108","9103"
"108","47642"
"108","5379"
"108","3969"
"108","9412"
"108","82488"
"108","75851"
"108","21139"
"108","134450"
"108","10276"
"108","368"
"108","11273"
"108","2903"
"108","134451"
"108","56345"
"108","8342"
"108","2644"
"108","109566"
"108","5766"
"108","2300"
"108","82247"
"108","89009"
"108","93477"
"108","7232"
"108","134452"
"108","109567"
"108","371"
"108","134453"
"108","75859"
"108","81960"
"108","7685"
"108","134454"
"108","6321"
"108","110201"
"108","80429"
"108","80430"
"108","88823"
"108","3594"
"108","105398"
"108","20313"
"108","134455"
"108","89687"
"108","1531"
"108","58979"
"108","10025"
"108","134456"
"108","134457"
"108","93478"
"108","8407"
"108","75365"
"108","19823"
"108","42693"
"108","43162"
"108","21203"
"108","1879"
"108","4841"
"108","80611"
"108","80615"
"108","77216"
"108","6728"
"108","93470"
"108","80129"
"108","99248"
"108","107948"
"108","6946"
"108","43628"
"108","11480"
"108","80545"
"108","19469"
"108","8275"
"108","5620"
"108","8963"
"108","41358"
"108","10721"
"108","112891"
"108","79767"
"108","105493"
"108","20667"
"108","8277"
"108","20843"
"108","5909"
"108","33879"
"108","134458"
"108","34121"
"108","4161"
"108","112609"
"108","78965"
"108","8368"
"108","8195"
"108","220"
"108","34326"
"108","2460"
"108","3133"
"108","5295"
"108","9648"
"108","5686"
"108","93468"
"108","93474"
"108","78378"
"108","34647"
"108","1665"
"108","77969"
"108","2330"
"108","7142"
"108","76479"
"108","34824"
"108","2668"
"108","100153"
"108","9451"
"108","640"
"108","10656"
"108","9545"
"108","6989"
"108","636"
"108","4869"
"108","75458"
"108","14226"
"108","112449"
"108","10160"
"108","134459"
"108","134460"
"108","8605"
"108","134461"
"108","134462"
"108","134463"
"108","134464"
"108","134465"
"108","134466"
"108","134467"
"108","134468"
"108","75894"
"108","134469"
"108","134470"
"108","134471"
"108","134472"
"108","134473"
"108","134474"
"108","134475"
"108","134476"
"108","75897"
"108","134477"
"108","75899"
"108","134478"
"108","134479"
"108","134480"
"108","134481"
"108","134482"
"108","134483"
"108","134484"
"108","134485"
"108","134486"
"108","75900"
"108","75901"
"108","134487"
"108","112613"
"108","112614"
"108","134488"
"108","112615"
"108","112616"
"108","75903"
"108","75904"
"108","112617"
"108","134489"
"108","112429"
"108","75908"
"108","75909"
"108","75912"
"108","112619"
"108","112430"
"108","112620"
"108","112621"
"108","134490"
"108","112622"
"108","112623"
"108","134491"
"108","134492"
"108","134493"
"108","134494"
"108","134495"
"108","75913"
"108","75914"
"108","75916"
"108","134496"
"108","75920"
"108","75921"
"108","75923"
"108","134497"
"108","82531"
"108","2718"
"108","134498"
"108","134499"
"108","134500"
"108","10890"
"108","134501"
"108","134502"
"108","134503"
"108","113205"
"108","4971"
"108","99820"
"108","87171"
"108","7346"
"108","430"
"108","11486"
"108","87389"
"108","134504"
"108","22666"
"108","11822"
"108","36369"
"108","8018"
"108","5138"
"108","134505"
"108","134506"
"108","134507"
"108","91320"
"108","134508"
"108","90627"
"108","100167"
"108","134509"
"108","134510"
"108","75967"
"108","134511"
"108","134512"
"108","134513"
"108","134514"
"108","134515"
"108","134516"
"108","75970"
"108","112444"
"108","134517"
"108","134518"
"108","134519"
"108","134520"
"108","134521"
"108","134522"
"108","134523"
"108","75984"
"108","113224"
"108","134524"
"108","134525"
"108","75985"
"108","134526"
"108","113225"
"108","113226"
"108","134527"
"108","134528"
"108","134529"
"108","134530"
"108","134531"
"108","134532"
"108","134533"
"108","134534"
"108","134535"
"108","134536"
"108","134537"
"108","134538"
"108","134539"
"108","134540"
"108","134541"
"108","134542"
"108","134543"
"108","134544"
"108","112431"
"108","74535"
"108","6613"
"108","62606"
"108","112596"
"108","134545"
"108","134546"
"108","134547"
"108","134548"
"108","134549"
"108","134550"
"108","134551"
"108","134552"
"108","134553"
"108","134554"
"108","134555"
"108","134556"
"108","134557"
"108","113232"
"108","134558"
"108","134559"
"108","134560"
"108","134561"
"108","134562"
"108","134563"
"108","134564"
"108","134565"
"108","73508"
"108","134566"
"108","134567"
"108","134568"
"108","134569"
"108","134570"
"108","113227"
"108","134571"
"108","134572"
"108","112494"
"108","134573"
"108","112474"
"108","134574"
"108","10845"
"108","109549"
"108","37030"
"108","4642"
"108","134575"
"108","134576"
"108","76040"
"108","11493"
"108","134577"
"108","7984"
"108","6430"
"108","9783"
"108","82613"
"108","6146"
"108","91496"
"108","3224"
"108","62095"
"108","134578"
"108","107969"
"108","134579"
"108","134580"
"108","112624"
"108","107594"
"108","11270"
"108","134581"
"108","13900"
"108","5383"
"108","5141"
"108","134582"
"108","89872"
"108","99540"
"108","99541"
"108","100166"
"108","99585"
"108","99570"
"108","112611"
"108","76050"
"108","134583"
"108","93473"
"108","112625"
"108","8276"
"108","10070"
"108","134584"
"108","8593"
"108","40573"
"108","134585"
"108","134586"
"108","5032"
"108","7469"
"108","3777"
"108","9434"
"108","78882"
"108","93475"
"108","8877"
"108","112890"
"108","79386"
"108","76458"
"108","41058"
"108","8592"
"108","93462"
"108","7935"
"108","134587"
"108","134588"
"108","134589"
"108","81402"
"108","76351"
"108","74336"
"108","81405"
"108","75384"
"108","134590"
"108","81413"
"108","6257"
"108","80620"
"108","80311"
"108","80655"
"108","113215"
"108","93527"
"108","113210"
"108","75701"
"108","112607"
"108","113214"
"108","82322"
"108","500037"
"108","113412"
"108","5643"
"108","1388"
"108","9881"
"108","6134"
"108","9623"
"108","2688"
"108","9845"
"108","6722"
"108","2438"
"108","8865"
"108","134591"
"108","112428"
"108","10610"
"108","400922"
"108","75739"
"108","75742"
"108","60232"
"108","5939"
"108","8232"
"108","5056"
"108","10884"
"108","7704"
"108","90713"
"108","10638"
"108","134592"
"108","107972"
"108","4690"
"108","10810"
"108","9893"
"108","10605"
"108","10095"
"108","6086"
"108","134593"
"108","134594"
"108","134595"
"108","107901"
"108","1818"
"108","107973"
"108","107974"
"108","134596"
"108","134597"
"108","6773"
"108","134598"
"108","134599"
"108","9484"
"108","134600"
"108","134601"
"108","134602"
"108","134603"
"108","134604"
"108","3898"
"108","107975"
"108","134605"
"108","5320"
"108","134606"
"108","134607"
"108","134608"
"108","134609"
"108","134610"
"108","107976"
"108","98479"
"108","112423"
"108","74469"
"108","134611"
"108","134612"
"108","107978"
"108","110933"
"108","9734"
"108","134613"
"108","134614"
"108","134615"
"108","76070"
"108","9178"
"108","4401"
"108","1523"
"108","134616"
"108","9449"
"108","5656"
"108","239"
"108","19925"
"108","2777"
"108","42402"
"108","75763"
"108","112634"
"108","113209"
"108","113206"
"108","76079"
"108","134617"
"108","112639"
"108","134618"
"108","134619"
"108","10897"
"108","134620"
"108","134621"
"108","74343"
"108","134622"
"108","134623"
"108","134624"
"108","8377"
"108","10850"
"108","2611"
"108","20126"
"108","134625"
"108","134626"
"108","134627"
"108","8259"
"108","39416"
"108","113207"
"108","113208"
"108","134628"
"108","134629"
"108","134630"
"108","134631"
"108","134632"
"108","134633"
"108","134634"
"108","134635"
"108","134636"
"108","134637"
"108","134638"
"108","134639"
"108","76083"
"108","134640"
"108","134641"
"108","134642"
"108","134643"
"108","134644"
"108","134645"
"108","134646"
"108","134647"
"108","134648"
"108","134649"
"108","134650"
"108","134651"
"108","134652"
"108","15359"
"108","10863"
"108","21392"
"108","134653"
"108","134654"
"108","134655"
"108","134656"
"108","134657"
"108","134658"
"108","76085"
"108","134659"
"108","134660"
"108","134661"
"108","134662"
"108","134663"
"108","134664"
"108","134665"
"108","134666"
"108","134667"
"108","2126"
"108","10637"
"108","134668"
"108","17606"
"108","77715"
"108","134669"
"108","134670"
"108","134671"
"108","8007"
"108","8265"
"108","4103"
"108","7515"
"108","8575"
"108","6746"
"108","9283"
"108","6830"
"108","3950"
"108","77176"
"108","8290"
"108","134672"
"108","15600"
"108","134673"
"108","134674"
"108","74361"
"108","1853"
"108","4266"
"108","134675"
"108","134676"
"108","10303"
"108","6736"
"108","1683"
"108","134677"
"108","134678"
"108","134679"
"108","134680"
"108","18838"
"108","134681"
"108","134682"
