"dgui_id","dgui_name"
"1","DIN 38412 II"
"2","DIN 38412 L34"
"3","EN ISO 8692"
"4","EPA 600/4-91/002"
"5","ISO 11348-2"
"6","ISO 15522"
"7","ISO 17012"
"8","ISO 20079"
"9","ISO 9509"
"10","Microbics Manual"
"11","OECD 201"
"12","OECD 202"
"13","OECD 203"
"14","OECD 207/2"
"15","OECD 209"
"16","OECD 301D"
"17","OECD 301F"
"18","OECD 305 C"
"19","OECD draft"
"20","Specific"
"21","Other"
"22","Not available"
