"dscd_id","dscd_name"
"1","Absorbent (PDMS)"
"2","Adsorbent (PUF)"
"3","Adsorbent (Tenax)"
"4","Adsorbent (XAD)"
"5","Adsorbent other"
"6","Filter (Quartz fibre)"
"7","Filter (Glass fibre)"
"8","Filter  other"
"9","Adsorbent (PUF) and filter"
"10","Adsorbent (XAD) and filter"
"11","Adsorbent and Filter (other)"
"12","Size selective particle collector"
"13","Other"
