"dsot_id","dsot_name"
"1","Clay"
"2","Sandy Clay"
"3","Sandy Clay Loam"
"4","Sandy Loam"
"5","Loamy Sand"
"6","Sand"
"7","Clay Loam"
"8","Loam"
"9","Silty Clay"
"10","Silty Clay Loam"
"11","Silt Loam"
"12","N.A."
